timestamp,stock,sell1_price,buy1_price,spread,total_sell,total_buy,weibi,sell_big5k,buy_big5k,sell_count,buy_count
2026-04-09 12:42:07,600666,6.62,6.61,0.01,600909,199255,-50.2,20,9,54,75
2026-04-09 12:42:19,600666,6.62,6.61,0.01,600909,199255,-50.2,20,9,54,75
2026-04-09 13:02:52,600666,0,0,0,0,0,0.0,0,0,0,0
2026-04-09 13:04:51,600666,6.57,6.56,0.01,6475,926,-74.98,5,0,36,41
