序号,代码,名称,现价,涨跌幅(%),涨跌额,成交量(手),成交额(亿),换手率(%),最高,最低,今开,昨收,涨跌状态
60,000566,海南海药,5.56,1.28,0.07,334149,1.84,3.83,5.59,5.38,5.44,5.49,上涨
61,000952,广济药业,7.32,1.24,0.09,75173,0.55,3.18,7.4,7.17,7.22,7.23,上涨
62,603676,卫信康,10.67,1.23,0.13,19847,0.21,2.66,10.7,10.42,10.52,10.54,上涨
63,605177,东亚药业,21.4,1.18,0.25,22645,0.48,3.5,21.62,20.88,21.39,21.15,上涨
64,600664,哈药股份,3.45,1.17,0.04,285864,0.98,2.35,3.46,3.38,3.39,3.41,上涨
65,603207,小方制药,27.62,1.17,0.32,8825,0.24,2.67,27.76,27.03,27.2,27.3,上涨
66,002399,海普瑞,11.25,1.17,0.13,46401,0.52,2.7,11.3,11.0,11.08,11.12,上涨
67,600613,神奇制药,6.08,1.16,0.07,95932,0.58,3.16,6.11,5.92,5.95,6.01,上涨
68,002020,京新药业,15.66,1.16,0.18,189413,2.93,4.59,15.73,15.02,15.25,15.48,上涨
69,688235,百济神州-U,235.3,1.12,2.61,59172,14.1,5.36,243.0,230.52,230.52,232.69,上涨
70,002817,黄山胶囊,8.14,1.12,0.09,76660,0.62,2.86,8.15,7.92,8.0,8.05,上涨
71,002332,仙琚制药,9.05,1.12,0.1,149354,1.35,2.79,9.1,8.85,8.9,8.95,上涨
72,300966,共同药业,20.93,1.11,0.23,19323,0.4,2.9,21.1,20.5,20.5,20.7,上涨
73,600276,恒瑞医药,55.76,1.05,0.58,697271,38.66,2.7,56.1,54.61,54.73,55.18,上涨
74,688356,键凯科技,94.5,1.04,0.97,7755,0.73,4.67,95.88,91.51,92.0,93.53,上涨
75,000953,河化股份,7.16,0.99,0.07,99141,0.71,2.96,7.19,6.98,7.06,7.09,上涨
76,002262,恩华药业,22.6,0.98,0.22,65307,1.46,2.41,22.66,22.12,22.15,22.38,上涨
77,688373,盟科药业-U,6.2,0.98,0.06,106350,0.66,2.93,6.28,6.1,6.12,6.14,上涨
78,600079,ST人福,18.81,0.97,0.18,96585,1.8,2.47,18.88,18.42,18.42,18.63,上涨
79,300110,华仁药业,3.16,0.96,0.03,203388,0.64,2.56,3.17,3.09,3.11,3.13,上涨
80,300086,康芝药业,8.47,0.95,0.08,183315,1.54,2.74,8.52,8.29,8.36,8.39,上涨
81,301277,新天地,11.85,0.94,0.11,39763,0.47,2.9,11.9,11.56,11.61,11.74,上涨
